Estación,Variable,Mes,Valor,provincia,altura,nro,oaci,latitud,longitud,region
la_quiaca_observatorio,temperatura_c,ene,13.2,JUJUY,3459.0,87007.0,SASQ,-22.1,-65.6,NOA
la_quiaca_observatorio,temperatura_maxima_c,ene,20.6,JUJUY,3459.0,87007.0,SASQ,-22.1,-65.6,NOA
la_quiaca_observatorio,temperatura_minima_c,ene,7.7,JUJUY,3459.0,87007.0,SASQ,-22.1,-65.6,NOA
la_quiaca_observatorio,humedad_relativa_porcentaje,ene,62.6,JUJUY,3459.0,87007.0,SASQ,-22.1,-65.6,NOA
la_quiaca_observatorio,velocidad_viento_kmh,ene,6.5,JUJUY,3459.0,87007.0,SASQ,-22.1,-65.6,NOA
la_quiaca_observatorio,nubosidad_octavos,ene,4.9,JUJUY,3459.0,87007.0,SASQ,-22.1,-65.6,NOA
la_quiaca_observatorio,precipitacion_mm,ene,101.9,JUJUY,3459.0,87007.0,SASQ,-22.1,-65.6,NOA
la_quiaca_observatorio,frecuencia_dias_precipitacion_gt_1mm,ene,11.5,JUJUY,3459.0,87007.0,SASQ,-22.1,-65.6,NOA
oran_aero,temperatura_c,ene,26.4,SALTA,357.0,87016.0,SASO,-23.15,-64.31666666666666,NOA
oran_aero,temperatura_maxima_c,ene,32.8,SALTA,357.0,87016.0,SASO,-23.15,-64.31666666666666,NOA
oran_aero,temperatura_minima_c,ene,21.6,SALTA,357.0,87016.0,SASO,-23.15,-64.31666666666666,NOA
oran_aero,humedad_relativa_porcentaje,ene,76.5,SALTA,357.0,87016.0,SASO,-23.15,-64.31666666666666,NOA
oran_aero,velocidad_viento_kmh,ene,,SALTA,357.0,87016.0,SASO,-23.15,-64.31666666666666,NOA
oran_aero,nubosidad_octavos,ene,5.2,SALTA,357.0,87016.0,SASO,-23.15,-64.31666666666666,NOA
oran_aero,precipitacion_mm,ene,198.4,SALTA,357.0,87016.0,SASO,-23.15,-64.31666666666666,NOA
oran_aero,frecuencia_dias_precipitacion_gt_1mm,ene,10.5,SALTA,357.0,87016.0,SASO,-23.15,-64.31666666666666,NOA
tartagal_aero,temperatura_c,ene,26.0,SALTA,450.0,87022.0,SAST,-22.6,-63.78333333333333,NOA
tartagal_aero,temperatura_maxima_c,ene,32.3,SALTA,450.0,87022.0,SAST,-22.6,-63.78333333333333,NOA
tartagal_aero,temperatura_minima_c,ene,20.8,SALTA,450.0,87022.0,SAST,-22.6,-63.78333333333333,NOA
tartagal_aero,humedad_relativa_porcentaje,ene,73.8,SALTA,450.0,87022.0,SAST,-22.6,-63.78333333333333,NOA
tartagal_aero,velocidad_viento_kmh,ene,8.0,SALTA,450.0,87022.0,SAST,-22.6,-63.78333333333333,NOA
tartagal_aero,nubosidad_octavos,ene,4.9,SALTA,450.0,87022.0,SAST,-22.6,-63.78333333333333,NOA
tartagal_aero,precipitacion_mm,ene,193.2,SALTA,450.0,87022.0,SAST,-22.6,-63.78333333333333,NOA
tartagal_aero,frecuencia_dias_precipitacion_gt_1mm,ene,9.6,SALTA,450.0,87022.0,SAST,-22.6,-63.78333333333333,NOA
jujuy_aero,temperatura_c,ene,23.8,JUJUY,907.0,87046.0,SASJ,-24.383333333333333,-65.08333333333333,NOA
jujuy_aero,temperatura_maxima_c,ene,30.3,JUJUY,907.0,87046.0,SASJ,-24.383333333333333,-65.08333333333333,NOA
jujuy_aero,temperatura_minima_c,ene,18.5,JUJUY,907.0,87046.0,SASJ,-24.383333333333333,-65.08333333333333,NOA
jujuy_aero,humedad_relativa_porcentaje,ene,73.2,JUJUY,907.0,87046.0,SASJ,-24.383333333333333,-65.08333333333333,NOA
jujuy_aero,velocidad_viento_kmh,ene,8.7,JUJUY,907.0,87046.0,SASJ,-24.383333333333333,-65.08333333333333,NOA
jujuy_aero,nubosidad_octavos,ene,5.2,JUJUY,907.0,87046.0,SASJ,-24.383333333333333,-65.08333333333333,NOA
jujuy_aero,precipitacion_mm,ene,147.6,JUJUY,907.0,87046.0,SASJ,-24.383333333333333,-65.08333333333333,NOA
jujuy_aero,frecuencia_dias_precipitacion_gt_1mm,ene,11.3,JUJUY,907.0,87046.0,SASJ,-24.383333333333333,-65.08333333333333,NOA
jujuy_u_n,temperatura_c,ene,21.1,JUJUY,1302.0,87043.0,,-24.166666666666668,-65.31666666666666,NOA
jujuy_u_n,temperatura_maxima_c,ene,27.3,JUJUY,1302.0,87043.0,,-24.166666666666668,-65.31666666666666,NOA
jujuy_u_n,temperatura_minima_c,ene,16.7,JUJUY,1302.0,87043.0,,-24.166666666666668,-65.31666666666666,NOA
jujuy_u_n,humedad_relativa_porcentaje,ene,80.7,JUJUY,1302.0,87043.0,,-24.166666666666668,-65.31666666666666,NOA
jujuy_u_n,velocidad_viento_kmh,ene,4.2,JUJUY,1302.0,87043.0,,-24.166666666666668,-65.31666666666666,NOA
jujuy_u_n,nubosidad_octavos,ene,5.8,JUJUY,1302.0,87043.0,,-24.166666666666668,-65.31666666666666,NOA
jujuy_u_n,precipitacion_mm,ene,191.5,JUJUY,1302.0,87043.0,,-24.166666666666668,-65.31666666666666,NOA
jujuy_u_n,frecuencia_dias_precipitacion_gt_1mm,ene,13.8,JUJUY,1302.0,87043.0,,-24.166666666666668,-65.31666666666666,NOA
salta_aero,temperatura_c,ene,21.5,SALTA,1221.0,87047.0,SASA,-24.833333333333332,-65.46666666666667,NOA
salta_aero,temperatura_maxima_c,ene,27.7,SALTA,1221.0,87047.0,SASA,-24.833333333333332,-65.46666666666667,NOA
salta_aero,temperatura_minima_c,ene,16.8,SALTA,1221.0,87047.0,SASA,-24.833333333333332,-65.46666666666667,NOA
salta_aero,humedad_relativa_porcentaje,ene,77.2,SALTA,1221.0,87047.0,SASA,-24.833333333333332,-65.46666666666667,NOA
salta_aero,velocidad_viento_kmh,ene,6.8,SALTA,1221.0,87047.0,SASA,-24.833333333333332,-65.46666666666667,NOA
salta_aero,nubosidad_octavos,ene,5.8,SALTA,1221.0,87047.0,SASA,-24.833333333333332,-65.46666666666667,NOA
salta_aero,precipitacion_mm,ene,197.1,SALTA,1221.0,87047.0,SASA,-24.833333333333332,-65.46666666666667,NOA
salta_aero,frecuencia_dias_precipitacion_gt_1mm,ene,12.4,SALTA,1221.0,87047.0,SASA,-24.833333333333332,-65.46666666666667,NOA
las_lomitas,temperatura_c,ene,28.3,FORMOSA,130.0,87078.0,SATK,-24.7,-60.583333333333336,NEA
las_lomitas,temperatura_maxima_c,ene,35.5,FORMOSA,130.0,87078.0,SATK,-24.7,-60.583333333333336,NEA
las_lomitas,temperatura_minima_c,ene,22.1,FORMOSA,130.0,87078.0,SATK,-24.7,-60.583333333333336,NEA
las_lomitas,humedad_relativa_porcentaje,ene,67.9,FORMOSA,130.0,87078.0,SATK,-24.7,-60.583333333333336,NEA
las_lomitas,velocidad_viento_kmh,ene,5.4,FORMOSA,130.0,87078.0,SATK,-24.7,-60.583333333333336,NEA
las_lomitas,nubosidad_octavos,ene,3.9,FORMOSA,130.0,87078.0,SATK,-24.7,-60.583333333333336,NEA
las_lomitas,precipitacion_mm,ene,130.3,FORMOSA,130.0,87078.0,SATK,-24.7,-60.583333333333336,NEA
las_lomitas,frecuencia_dias_precipitacion_gt_1mm,ene,6.7,FORMOSA,130.0,87078.0,SATK,-24.7,-60.583333333333336,NEA
iguazu_aero,temperatura_c,ene,25.8,MISIONES,270.0,87097.0,SARI,-25.716666666666665,-54.46666666666667,NEA
iguazu_aero,temperatura_maxima_c,ene,32.0,MISIONES,270.0,87097.0,SARI,-25.716666666666665,-54.46666666666667,NEA
iguazu_aero,temperatura_minima_c,ene,20.7,MISIONES,270.0,87097.0,SARI,-25.716666666666665,-54.46666666666667,NEA
iguazu_aero,humedad_relativa_porcentaje,ene,79.0,MISIONES,270.0,87097.0,SARI,-25.716666666666665,-54.46666666666667,NEA
